noise_sigma,method,time,iters,final_energy,rot_err_fricp,trans_err_fricp,rot_err_kabsch,trans_err_kabsch,matrix_verify_err,rms,energy
0.0,Standard ICP,0.3014688491821289,12,1.05955e-09,0.0,8.002699864753636e-08,0.0,9.278419505180258e-16,0.0,2.312501421692086e-07,4.130000341717732e-08
0.0,Fast ICP,0.17886638641357422,11,1.05955e-09,0.0,8.002699864753636e-08,0.0,9.278419505180258e-16,0.0,2.312501421692086e-07,4.130000341717732e-08
0.0,Robust ICP,0.23100996017456055,17,0.000752911,0.0,8.002699864753636e-08,0.0,9.278419505180258e-16,0.0,2.312501421692086e-07,4.130000341717732e-08
0.001,Standard ICP,0.20594477653503418,12,0.0127739,0.0,7.603417412381372e-06,0.0013891345881693936,7.748816367346703e-06,0.0,0.0017364861393436432,2.32849010191241
0.001,Fast ICP,0.18492937088012695,13,0.0127739,0.0,7.603417412381372e-06,0.0013891345881693936,7.748816367346703e-06,0.0,0.0017364861393436432,2.32849010191241
0.001,Robust ICP,0.2386622428894043,20,6045.61,0.0,1.0127956151958754e-05,0.0013891345881693936,7.748816367346703e-06,0.0,0.0017364949784859371,2.328513793475117
0.005,Standard ICP,0.36165332794189453,37,0.158799,0.03756428031366361,8.405917929268315e-05,0.007499251842186633,3.6772042062977883e-05,0.03400005570056296,0.006163723661214175,29.28389841578617
0.005,Fast ICP,0.21099328994750977,17,0.1588,0.029621027267419733,0.00010200745267688072,0.007499251842186633,3.6772042062977883e-05,0.02287570593513866,0.0061637458607620346,29.28410521318376
0.005,Robust ICP,0.41723203659057617,38,14257.5,0.007800926120891826,0.00031314570770864166,0.007499251842186633,3.6772042062977883e-05,0.0,0.0061666067841363685,29.31120758671105
0.01,Standard ICP,0.433089017868042,39,0.454184,0.053924081392802,0.0002690586138067844,0.02680411455968256,8.42584680118505e-06,0.0,0.010631120668956313,86.66388751176824
0.01,Fast ICP,0.2490098476409912,13,0.454183,0.06448551120397902,0.00026810941585132147,0.02680411455968256,8.42584680118505e-06,0.03848951433746017,0.010631108119469816,86.66367806528498
0.01,Robust ICP,2.134125232696533,119,14819.0,0.15023764731840347,0.0022731244385764933,0.02680411455968256,8.42584680118505e-06,0.0,0.010683088233189387,87.50407031178538
0.02,Standard ICP,0.6467816829681396,38,1.53479,0.08597603830830515,0.001405627569645732,0.040735595249896464,0.00015749435403877602,0.0,0.020332538555286873,310.3515585261614
0.02,Fast ICP,0.541344165802002,24,1.53479,0.06272185190473978,0.0013647986543383363,0.040735595249896464,0.00015749435403877602,0.0,0.02033254742143791,310.35193581314695
0.02,Robust ICP,2.8468587398529053,169,15124.2,0.4071801742344403,0.0038800569304498185,0.040735595249896464,0.00015749435403877602,0.0,0.020429660713762503,313.279647182267
0.05,Standard ICP,0.6970019340515137,33,6.81463,0.3007843882830335,0.006778121580572973,0.08548954494922135,0.0007076875734177928,0.03537130511024914,0.04902489195729499,1586.8288407869773
0.05,Fast ICP,0.6506364345550537,22,6.81463,0.29453545291126243,0.00677612681078415,0.08548954494922135,0.0007076875734177928,0.0,0.04902489079418582,1586.8290793010528
0.05,Robust ICP,6.516086578369141,248,15304.6,1.025047975012037,0.010956012336186724,0.08548954494922135,0.0007076875734177928,0.030397226605963806,0.04929192754646696,1601.2598060945938
